"Target gene symbol","Target gene ID","Target gene type3prime_overlapping_nMt_rRNAMt_tRNATECantisense_RNAbidirectional_promotlincRNAmacro_lncRNAmiRNAmisc_RNAprocessed_transcriptprotein_codingrRNAsense_intronicsense_overlappingsnRNAsnoRNA","ProtocolPAR-CLIP,MiClipPAR-CLIP,PARalyzerPAR-CLIP,Piranha_0.01iCLIP,CIMSiCLIP,Piranha_0.01iCLIP,PureCLIP","Target gene exp. level","Binding site records"
"RNU4-2","ENSG00000202538","snRNA","PAR-CLIP,Piranha_0.01","","7"
"RNU1-67P","ENSG00000207175","snRNA","PAR-CLIP,Piranha_0.01","","6"
"RNU12","ENSG00000276027","snRNA","PAR-CLIP,Piranha_0.01","","6"
"RNU2-2P","ENSG00000222328","snRNA","PAR-CLIP,Piranha_0.01","","6"
"RNU5B-1","ENSG00000200156","snRNA","PAR-CLIP,Piranha_0.01","","6"
"RN7SK","ENSG00000283293","snRNA","PAR-CLIP,Piranha_0.01","","5"
"RNU5A-1","ENSG00000199568","snRNA","PAR-CLIP,Piranha_0.01","","5"
"RNU1-136P","ENSG00000206908","snRNA","PAR-CLIP,Piranha_0.01","","4"
"RNU11","ENSG00000274978","snRNA","PAR-CLIP,Piranha_0.01","","4"
"RNU2-61P","ENSG00000223001","snRNA","PAR-CLIP,Piranha_0.01","","4"
"RNU2-6P","ENSG00000223336","snRNA","PAR-CLIP,Piranha_0.01","","4"
"RNU5E-1","ENSG00000199347","snRNA","PAR-CLIP,Piranha_0.01","","4"
"RNU1-148P","ENSG00000207201","snRNA","PAR-CLIP,Piranha_0.01","","3"
"RNU1-88P","ENSG00000238554","snRNA","PAR-CLIP,Piranha_0.01","","3"
"RNU4ATAC","ENSG00000264229","snRNA","PAR-CLIP,Piranha_0.01","","3"
"RNU1-22P","ENSG00000200204","snRNA","PAR-CLIP,Piranha_0.01","","2"
"RNU2-59P","ENSG00000222414","snRNA","PAR-CLIP,Piranha_0.01","","2"
"RNU5A-8P","ENSG00000200972","snRNA","PAR-CLIP,Piranha_0.01","","2"
"RNU5F-1","ENSG00000199377","snRNA","PAR-CLIP,Piranha_0.01","","2"
"RNU7-1","ENSG00000238923","snRNA","PAR-CLIP,Piranha_0.01","","2"
"RNU1-140P","ENSG00000201910","snRNA","PAR-CLIP,Piranha_0.01","","1"
"RNU1-16P","ENSG00000202347","snRNA","PAR-CLIP,Piranha_0.01","","1"
"RNU1-42P","ENSG00000200903","snRNA","PAR-CLIP,Piranha_0.01","","1"
"RNU2-14P","ENSG00000222985","snRNA","PAR-CLIP,Piranha_0.01","","1"
"RNU2-32P","ENSG00000223125","snRNA","PAR-CLIP,Piranha_0.01","","1"
"RNU2-64P","ENSG00000223247","snRNA","PAR-CLIP,Piranha_0.01","","1"
"RNU2-8P","ENSG00000222659","snRNA","PAR-CLIP,Piranha_0.01","","1"
"RNU4-1","ENSG00000200795","snRNA","PAR-CLIP,Piranha_0.01","","1"
"RNU4-78P","ENSG00000222872","snRNA","PAR-CLIP,Piranha_0.01","","1"
"RNU5D-1","ENSG00000200169","snRNA","PAR-CLIP,Piranha_0.01","","1"
"RNU5E-6P","ENSG00000202444","snRNA","PAR-CLIP,Piranha_0.01","","1"
"RNU6-144P","ENSG00000206678","snRNA","PAR-CLIP,Piranha_0.01","","1"
"RNU6-20P","ENSG00000206833","snRNA","PAR-CLIP,Piranha_0.01","","1"
"RNU6-737P","ENSG00000202240","snRNA","PAR-CLIP,Piranha_0.01","","1"
"RNU6ATAC","ENSG00000221676","snRNA","PAR-CLIP,Piranha_0.01","","1"
"RNVU1-17","ENSG00000207349","snRNA","PAR-CLIP,Piranha_0.01","","1"
"U2","ENSG00000278135","snRNA","PAR-CLIP,Piranha_0.01","","1"
"SNORA73A","ENSG00000274266","snoRNA","PAR-CLIP,Piranha_0.01","","7"
"SNORA3B","ENSG00000212607","snoRNA","PAR-CLIP,Piranha_0.01","","5"
"SNORA73B","ENSG00000200087","snoRNA","PAR-CLIP,Piranha_0.01","","5"
"SNORD22","ENSG00000277194","snoRNA","PAR-CLIP,Piranha_0.01","","5"
"SNORD45A","ENSG00000207241","snoRNA","PAR-CLIP,Piranha_0.01","","5"
"SCARNA10","ENSG00000239002","snoRNA","PAR-CLIP,Piranha_0.01","","4"
"SNORA17B","ENSG00000280496","snoRNA","PAR-CLIP,Piranha_0.01","","4"
"SNORA3A","ENSG00000200983","snoRNA","PAR-CLIP,Piranha_0.01","","4"
"SNORD10","ENSG00000238917","snoRNA","PAR-CLIP,Piranha_0.01","","4"
"SNORD13","ENSG00000239039","snoRNA","PAR-CLIP,Piranha_0.01","","4"
"SNORD17","ENSG00000212232","snoRNA","PAR-CLIP,Piranha_0.01","","4"
"SNORD19","ENSG00000222345","snoRNA","PAR-CLIP,Piranha_0.01","","4"
"SNORD32A","ENSG00000201675","snoRNA","PAR-CLIP,Piranha_0.01","","4"
"SNORD45B","ENSG00000201487","snoRNA","PAR-CLIP,Piranha_0.01","","4"
"SNORA18","ENSG00000207145","snoRNA","PAR-CLIP,Piranha_0.01","","3"
"SNORA23","ENSG00000201998","snoRNA","PAR-CLIP,Piranha_0.01","","3"
"SNORA25","ENSG00000207112","snoRNA","PAR-CLIP,Piranha_0.01","","3"
"SNORA26","ENSG00000212588","snoRNA","PAR-CLIP,Piranha_0.01","","3"
"SNORA46","ENSG00000207493","snoRNA","PAR-CLIP,Piranha_0.01","","3"
"SNORA52","ENSG00000199785","snoRNA","PAR-CLIP,Piranha_0.01","","3"
"SNORA53","ENSG00000212443","snoRNA","PAR-CLIP,Piranha_0.01","","3"
"SNORA61","ENSG00000278274","snoRNA","PAR-CLIP,Piranha_0.01","","3"
"SNORA62","ENSG00000202363","snoRNA","PAR-CLIP,Piranha_0.01","","3"
"SNORA65","ENSG00000201302","snoRNA","PAR-CLIP,Piranha_0.01","","3"
"SNORA67","ENSG00000277985","snoRNA","PAR-CLIP,Piranha_0.01","","3"
"SNORA75","ENSG00000206885","snoRNA","PAR-CLIP,Piranha_0.01","","3"
"SNORA81","ENSG00000221420","snoRNA","PAR-CLIP,Piranha_0.01","","3"
"SNORD100","ENSG00000221500","snoRNA","PAR-CLIP,Piranha_0.01","","3"
"SNORD104","ENSG00000199753","snoRNA","PAR-CLIP,Piranha_0.01","","3"
"SNORD118","ENSG00000200463","snoRNA","PAR-CLIP,Piranha_0.01","","3"
"SNORD18A","ENSG00000200623","snoRNA","PAR-CLIP,Piranha_0.01","","3"
"SNORD18B","ENSG00000202529","snoRNA","PAR-CLIP,Piranha_0.01","","3"
"SNORD19B","ENSG00000238862","snoRNA","PAR-CLIP,Piranha_0.01","","3"
"SNORD25","ENSG00000275043","snoRNA","PAR-CLIP,Piranha_0.01","","3"
"SNORD34","ENSG00000202503","snoRNA","PAR-CLIP,Piranha_0.01","","3"
"SNORD45C","ENSG00000206620","snoRNA","PAR-CLIP,Piranha_0.01","","3"
"SNORD83A","ENSG00000209482","snoRNA","PAR-CLIP,Piranha_0.01","","3"
"SNORD88A","ENSG00000221241","snoRNA","PAR-CLIP,Piranha_0.01","","3"
